datetime,windAverage,windVectorAvg
2020-01,16.93548387096774,4.115274458765508
2020-02,15.524137931034483,3.9400682647683256
2020-03,22.222580645161294,4.714083224250638
2020-04,17.476666666666667,4.180510335672747
2020-05,19.383870967741938,4.402711774320679
2020-06,22.143333333333324,4.705670338361297
2020-07,18.65806451612903,4.319498178738941
2020-08,19.500000000000004,4.415880433163924
2020-09,18.433333333333334,4.293405796489931
2020-10,20.148387096774194,4.488695478284776
2020-11,14.606666666666666,3.821866908549625
2020-12,21.303225806451614,4.6155417673824175
2021-01,21.416129032258063,4.627756371316241
2021-02,20.575,4.535967372016691
2021-03,17.093548387096778,4.13443447004506
2021-04,17.05666666666666,4.12997175131582
2021-05,20.135483870967743,4.487257945668796
2021-06,18.25333333333333,4.2723919920032305
2021-07,19.835483870967742,4.453704510962503
2021-08,19.109677419354842,4.371461702835202
2021-09,18.236666666666665,4.270441038893602
2021-10,15.751612903225803,3.9688301681006464
2021-11,17.3,4.159326868617084
2021-12,19.790322580645157,4.4486315402205605
2022-01,15.106451612903228,3.886701894010297
2022-02,16.171428571428567,4.021371478914696
2022-03,21.925806451612903,4.68250002152834
2022-04,23.836666666666662,4.882280887727237
2022-05,19.822580645161292,4.452255680569265
2022-06,21.360000000000003,4.621688003316537
2022-07,20.767741935483873,4.557163803889857
2022-08,22.616129032258062,4.75564181076099
2022-09,19.723333333333333,4.4410959608336915
2022-10,15.254838709677411,3.905744322107812
2022-11,22.970000000000006,4.792702786528705
2022-12,18.125806451612906,4.257441303366718
2023-01,10.3,3.2093613071762426
